posx,posz,time
1.0,1.0,51
1.0,1.0,187
1.0,1.0,201
1.0,1.0,216
1.519974,1.0,227
1.6488148,1.3680826,238
1.944124,1.788095,250
2.1964862,2.0854132,263
2.5329692,2.4818373,277
2.803387,2.762834,288
3.1639438,3.137496,300
3.4343615,3.4184926,313
3.7047791,3.699489,325
3.980022,3.975761,336
4.255265,4.2520328,348
4.622256,4.620395,359
4.8974986,4.896667,371
4.9892464,4.9887576,499
4.9892464,4.9887576,510
4.9892464,4.9887576,645
4.9892464,4.9887576,657
4.5992656,4.9887576,669
4.4933763,5.3640866,681
4.35219,5.8645263,693
4.2463,6.2398553,705
4.1404104,6.615185,717
3.9992242,7.115624,729
3.8933346,7.4909534,740
3.542887,7.662042,748
2.60836,8.118278,752
2.4004982,8.179941,756
2.2403698,8.297173,768
2.179997,9.162015,782
2.1799972,9.551815,796
2.1799972,9.941428,811
2.1799972,10.330252,968
2.1799972,10.330252,1117
2.1799972,10.330252,1128
2.1799972,10.330252,1141
2.1799972,10.720232,1153
2.4948833,10.829816,1163
3.0147295,10.820003,1175
3.4045367,10.820003,1187
3.5343933,10.820003,1202
3.5343933,10.820003,1217
3.5343933,10.820003,1229
3.9243739,10.820003,1240
3.9401743,11.192889,1252
3.799111,11.556463,1265
3.6580472,11.920036,1278
3.4699626,12.404801,1291
3.328899,12.768375,1304
3.1878355,13.131949,1316
2.9997506,13.616714,1328
2.9738767,14.005836,1340
2.9480026,14.394957,1353
2.9135041,14.913785,1367
2.88763,15.302906,1380
2.8531313,15.821734,1392
2.835882,16.081148,1405
2.580911,16.376232,1417
2.1559591,16.868038,1429
1.9859785,17.064762,1443
1.5968364,17.039202,1457
1.2076945,17.013641,1521
1.2076945,17.013641,1533
1.2076945,17.013641,1676
1.4448093,17.120272,1691
1.5633668,17.173586,1832
1.5633668,17.173586,1843
1.5633668,17.173586,1857
1.5633668,16.783606,1870
1.4286956,16.431223,1881
1.1593533,15.986444,1893
0.9573465,15.652861,1904
0.94062734,15.263239,1915
0.9183351,14.743743,1927
0.90161586,14.354121,1938
0.8848967,13.9644985,1949
0.86260444,13.4450035,1961
0.8458852,13.055381,1969
0.82916605,12.665759,1980
0.8200043,12.146338,1992
0.8200043,11.757807,2003
1.0584309,11.449202,2014
1.2968576,11.140595,2026
1.5522559,10.845881,2037
1.8185984,10.598302,2049
1.8220736,10.209216,2061
1.9483949,10.063475,2072
2.0200155,9.7479515,2083
2.0200155,9.237559,2095
2.0200155,8.865894,2106
2.0200155,8.542905,2118
2.0200155,8.3422365,2130
1.9654671,8.163762,2141
1.8824095,8.080706,2156
2.1165812,7.96776,2167
2.1165812,7.96776,2179
2.2136865,8.054182,2191
2.2160594,8.1841545,2202
2.1487894,8.568289,2216
2.0590963,9.080469,2229
2.1488364,8.700954,2242
2.1488364,8.700954,2253
2.1488364,8.700954,2396
2.1488364,8.700954,2409
2.1488364,8.310973,2421
1.9136487,8.092626,2434
1.4300777,7.907824,2446
1.0620438,7.778844,2458
1.0620438,7.778844,2604
1.0620438,7.778844,2615
1.0620438,7.778844,2628
1.4520243,7.778844,2639
1.6681079,8.024163,2651
1.7461644,8.032882,2663
1.8315122,8.055719,2675
1.9884019,8.188784,2688
2.0200105,8.679593,2700
2.0200105,9.0665,2712
2.0200105,9.451426,2725
1.886517,10.322522,2868
1.886517,10.322522,3008
1.886517,10.322522,3019
1.886517,10.322522,3031
1.886517,10.7125025,3043
1.5693592,10.827672,3055
1.0497999,10.8200035,3067
1.0497999,10.8200035,3079
1.0497999,10.8200035,3093
1.0497999,10.8200035,3105
1.0497999,10.8200035,3119
1.0497999,10.8200035,3263
1.0497999,10.8200035,3275
1.4397805,10.8200035,3288
1.672112,10.786618,3300
1.672112,10.786618,3436
1.672112,10.786618,3448
1.672112,10.786618,3461
2.0620925,10.786618,3473
2.0195217,10.398969,3486
1.976951,10.011319,3497
2.0200157,9.535903,3509
2.0200157,9.155154,3521
2.0200157,8.788345,3532
2.0200157,8.4963045,3544
2.014529,8.276725,3556
1.9039162,8.096823,3570
2.1323867,7.9727483,3583
2.2278666,8.060964,3595
2.2248511,8.190922,3606
2.1779954,8.551446,3618
2.179998,8.94134,3630
2.179998,9.331188,3642
2.179998,9.720931,3654
2.179998,10.239949,3666
2.179998,10.584583,3678
2.2884154,10.752727,3690
2.6314,10.82828,3703
3.1512287,10.820003,3715
3.54093,10.820003,3727
3.9299598,10.847216,3739
4.3189898,10.874429,3751
4.7080197,10.901642,3762
5.226726,10.937926,3775
5.6157556,10.96514,3787
6.1344624,11.001425,3920
6.1344624,11.001425,3932
6.1344624,11.001425,4072
6.1344624,11.001425,4084
5.7444816,11.001425,4096
5.226996,10.957439,4108
4.8395042,10.913455,4120
4.452012,10.86947,4131
4.06452,10.825485,4143
3.674585,10.820002,4155
3.2846658,10.820002,4167
2.7649434,10.820002,4179
2.416646,10.820002,4191
2.416646,10.820002,4333
2.416646,10.820002,4344
2.416646,10.820002,4356
2.0266657,10.820002,4368
1.9526713,10.434062,4380
2.0034878,10.047407,4392
2.0543044,9.660751,4404
2.1051211,9.2740965,4416
2.1559377,8.887441,4428
2.0200715,8.490575,4440
