id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
1,1,door2,Door,isOpen,false,FAILED. Abort was invoked.,
2,1,button4,Switch,isOn,true,FAILED. Abort was invoked.,
3,1,button3,Switch,isOn,true,FAILED. Abort was invoked.,
4,1,button2,Switch,isOn,true,FAILED. Abort was invoked.,
5,1,button8,Switch,isOn,true,FAILED. Abort was invoked.,
6,1,door2,Door,isOpen,true,FAILED. Abort was invoked.,
7,1,door3,Door,isOpen,false,FAILED. Abort was invoked.,
8,1,button7,Switch,isOn,true,FAILED. Abort was invoked.,
9,1,door1,Door,isOpen,false,FAILED. Abort was invoked.,
10,1,button3,Switch,isOn,true,FAILED. Abort was invoked.,
11,1,door1,Door,isOpen,false,FAILED. Abort was invoked.,
12,1,button1,Switch,isOn,true,FAILED. Abort was invoked.,
13,1,button4,Switch,isOn,true,FAILED. Abort was invoked.,
14,1,button3,Switch,isOn,true,FAILED. Abort was invoked.,
