posx,posz,time
1.0,1.0,33
1.0,1.0,189
1.0,1.0,202
1.0,1.0,216
1.3899806,1.0,228
1.779961,1.0,242
2.2999349,1.0,396
2.2999349,1.0,409
2.093265,1.3307148,423
1.955485,1.5511913,432
1.7773219,1.8980958,437
1.5397713,2.3606353,442
1.3022206,2.8231745,447
1.0052822,3.4013486,450
1.550876,4.5812464,452
1.7145542,4.9352155,463
1.8711674,5.142738,473
2.1843941,5.5577826,485
2.654234,6.1803493,618
2.654234,6.1803493,628
2.654234,6.1803493,770
2.654234,6.1803493,782
2.654234,6.1803493,794
3.0442145,6.1803493,805
3.1697595,5.8111296,817
3.2953048,5.44191,828
3.42085,5.0726905,839
3.5463953,4.7034707,850
3.6719406,4.334251,861
3.7556374,4.0881042,873
3.7655792,3.6982508,884
3.7755213,3.3083968,896
3.7854633,2.918543,907
3.7954051,2.5286894,919
3.8053472,2.1388357,931
3.818603,1.6190307,943
3.828545,1.229177,955
3.4526782,1.1252115,967
3.2021003,1.0559013,1099
3.2021003,1.0559013,1110
3.2021003,1.0559013,1256
3.2021003,1.0559013,1269
3.5600357,0.9010887,1281
3.8979313,1.0957971,1293
4.235827,1.2905055,1305
4.5737224,1.4852139,1317
4.911618,1.6799223,1329
5.1180134,1.838018,1341
5.5308037,2.1542091,1353
5.840397,2.3913527,1365
6.1499896,2.6284962,1377
6.0000033,2.7666295,1389
5.493635,2.8848004,1401
5.2404513,2.943886,1412
5.2404513,2.943886,1543
5.2404513,2.943886,1554
5.2404513,2.943886,1691
