id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
98,1,b0,Switch,isOn,true,SUCCESS. Solved by ,
99,1,b1,Switch,isOn,true,FAILED. Abort was invoked.,
100,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
101,1,b46,Switch,isOn,true,FAILED. Abort was invoked.,
102,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
103,1,b0,Switch,isOn,false,SUCCESS. Solved by ,
104,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
105,1,b0,Switch,isOn,false,SUCCESS. Solved by ,
106,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
107,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
108,1,b0,Switch,isOn,false,SUCCESS. Solved by ,
109,1,door39,Door,isOpen,true,SUCCESS. Solved by Observe,
110,1,door39,Door,isOpen,true,SUCCESS. Solved by Observe,
111,1,b25,Switch,isOn,true,SUCCESS. Solved by ,
112,1,door39,Door,isOpen,true,SUCCESS. Solved by Observe,
113,1,door31,Door,isOpen,false,SUCCESS. Solved by Observe,
114,1,door54,Door,isOpen,true,SUCCESS. Solved by Observe,
115,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
116,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
117,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
118,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
119,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
120,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
121,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
122,1,b46,Switch,isOn,false,FAILED. Abort was invoked.,
123,1,b46,Switch,isOn,true,FAILED. Abort was invoked.,
124,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
125,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
126,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
127,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
128,1,b1,Switch,isOn,false,SUCCESS. Solved by ,
129,1,b0,Switch,isOn,false,FAILED. Abort was invoked.,
130,1,b0,Switch,isOn,true,SUCCESS. Solved by ,
131,1,b0,Switch,isOn,false,FAILED. Abort was invoked.,
132,1,b0,Switch,isOn,true,SUCCESS. Solved by ,
133,1,b1,Switch,isOn,true,FAILED. Abort was invoked.,
