posx,posz,time
202.0,102.0,254959
202.0,102.0,255017
202.36209,101.855156,255023
202.03436,102.25885,255028
201.78856,102.561615,255034
201.3352,103.02738,255040
200.88187,103.49314,255045
200.88187,103.49314,255092
200.88187,103.49314,255096
200.88187,103.49314,255101
201.53183,103.49314,255105
201.7538,103.98522,255109
202.06451,104.556114,255113
202.4995,105.35537,255117
202.77666,105.943275,255121
203.16469,106.76635,255125
203.38643,107.23668,255130
203.58209,107.85649,255135
203.69951,108.22838,255196
203.69951,108.22838,255201
203.69951,108.22838,255206
203.69951,108.22838,255211
203.08112,108.18,255216
203.19951,107.82285,255221
203.75372,107.27411,255226
204.39809,106.6316,255231
205.13475,105.89755,255236
205.77928,105.25523,255241
206.42383,104.61291,255246
206.9763,104.06235,255251
207.16046,103.87883,255257
207.59581,103.23167,255263
207.81348,102.90809,255268
207.94424,102.271416,255273
207.94424,102.271416,255329
207.94424,102.271416,255334
207.94424,101.751434,255339
207.94263,101.88143,255344
207.9406,102.531395,255350
208.11473,103.1576,255355
208.17996,103.40808,255419
208.17996,103.40808,255486
208.17996,103.40808,255492
208.17996,103.40808,255498
208.17996,103.928055,255503
208.82047,104.077545,255508
209.69984,103.930405,255513
210.477,103.86444,255518
210.99492,103.820015,255524
210.99492,103.820015,255531
210.99492,103.820015,255538
211.5149,103.820015,255544
211.79176,104.209625,255549
211.82,104.713844,255554
211.8201,104.97357,255559
211.8201,104.97357,255566
211.8201,104.97357,255572
211.8201,104.97357,255579
211.82,104.7138,255585
211.81181,104.3709,255591
211.47623,104.169075,255597
211.06776,104.05596,255603
210.37819,103.97998,255608
209.65749,103.97998,255614
209.27538,103.98594,255619
208.88176,104.42136,255624
208.5421,104.97552,255629
208.38353,105.18154,255635
208.12901,105.5587,255640
207.79895,106.406654,255645
207.51283,107.13225,255650
206.87892,107.53386,255655
206.06148,107.93357,255660
205.7117,108.106026,255665
205.40656,108.18036,255670
205.40656,108.18036,255744
205.40656,108.18036,255750
205.40656,108.18036,255757
204.88658,108.18036,255762
204.78325,108.811165,255767
204.95982,109.7034,255772
205.09866,110.4709,255777
205.17998,111.10969,255783
205.10312,111.623955,255788
204.98784,112.39535,255793
204.85335,113.2953,255799
204.79572,113.68101,255804
204.72182,114.1957,255810
204.5925,115.09642,255816
204.5186,115.611115,255822
204.47932,116.259895,255828
204.43219,117.03843,255833
204.3737,117.154526,255839
204.21497,117.33139,255844
204.18,118.2173,255849
204.17998,118.734474,255854
204.18,119.37976,255860
204.18,119.5869,255866
204.18,119.5869,255872
203.98087,120.06723,255877
203.83151,120.427475,255882
203.75967,120.706375,255888
203.75967,120.706375,255958
203.75967,120.706375,255964
203.75967,120.706375,255970
203.75967,121.22635,255976
203.60992,120.99626,255981
203.18806,121.490715,255987
202.76619,121.98517,255992
202.51741,122.58563,255997
202.2686,123.186104,256002
202.26414,123.83605,256008
202.26146,124.22603,256077
202.26146,124.22603,256084
202.26146,124.22603,256091
201.6115,124.22603,256097
201.98288,124.36383,256103
202.0984,124.87081,256109
202.17998,125.37736,256115
202.2167,125.67353,256120
202.71304,126.08726,256126
203.32681,126.56853,256131
203.32681,126.56853,256138
203.32681,126.56853,256145
203.32681,127.21849,256152
203.90347,127.0486,256157
204.24945,126.868675,256162
204.76834,126.8351,256167
205.41606,126.8201,256172
205.41606,126.8201,256178
205.63655,126.80837,256183
205.99121,126.436134,256188
206.41805,125.94596,256193
206.41805,125.94596,256200
206.41805,125.94596,256206
207.19801,125.94596,256213
207.00017,125.73474,256218
206.90533,125.22349,256223
206.82002,124.71224,256229
206.77487,124.31016,256234
206.1989,123.78424,256239
206.00691,123.60893,256246
205.81874,123.42952,256252
205.6945,123.21741,256259
205.53964,122.58617,256264
205.48743,121.94038,256269
205.45026,121.03118,256275
205.34529,120.79332,256281
204.99113,120.41936,256287
204.56557,119.92807,256293
204.37971,119.808075,256298
204.16713,119.515945,256303
204.18,118.610115,256309
204.18,117.96168,256314
204.18,117.703835,256319
204.07246,117.06282,256325
203.94344,116.29361,256330
203.82002,115.5244,256335
203.82,114.61675,256339
203.82,113.44735,256343
203.82,112.53822,256348
203.82002,111.632126,256352
203.81999,110.982315,256356
203.82,109.94297,256360
203.82,109.034805,256364
203.82002,108.648224,256369
203.80164,108.36178,256373
203.38435,108.17582,256378
202.47533,108.18,256382
201.30745,108.17999,256386
201.04956,108.17999,256390
201.04956,108.17999,256436
201.04956,108.17999,256440
201.04956,107.53002,256444
200.89197,107.346825,256449
200.84755,106.69838,256454
200.82,105.79155,256458
200.79782,105.34854,256463
200.79782,105.34854,256508
200.79782,105.34854,256513
200.79782,105.34854,256519
201.44778,105.34854,256524
201.69551,105.9984,256528
201.68568,106.51828,256532
202.07108,107.041664,256536
202.45647,107.565056,256542
203.00525,107.91333,256546
203.33452,108.12229,256551
203.64362,108.198135,256556
203.64362,108.198135,256605
203.64362,108.198135,256610
203.64362,108.198135,256616
203.00398,108.18,256622
203.23915,107.75887,256627
203.9158,107.37666,256633
204.60693,107.01518,256638
205.41217,106.591385,256643
205.87233,106.34926,256648
206.46332,106.0787,256653
207.17249,105.75402,256658
207.40887,105.6458,256664
207.90889,105.50308,256669
208.13588,105.37632,256674
208.61885,104.94136,256679
209.00523,104.5934,256684
209.02994,104.315384,256689
209.12212,104.07219,256753
209.12212,104.07219,256759
209.12212,104.07219,256765
209.55765,103.97999,256770
210.32584,103.97999,256775
211.03514,104.02022,256780
211.40419,104.14628,256785
211.61998,104.18492,256791
211.82657,104.61644,256797
211.82,105.00599,256802
211.82,105.00599,256808
211.82,105.00599,256814
