posx,posz,time
1.0,4.0,2033
1.0,4.0,3657
1.0,4.0,3774
1.0,4.0,3877
1.259987,4.0,3961
1.6493974,3.9827914,4064
2.038552,3.9574249,4175
2.4277065,3.9320583,4285
2.8168612,3.906692,4398
3.0762975,3.889781,4491
3.4654522,3.8644142,4599
3.8328574,3.7336538,4697
4.2002625,3.602893,4813
4.445199,3.5157194,4929
4.812604,3.384959,5036
6.0372877,2.9490902,6382
6.0372877,2.9490902,6495
6.0372877,2.9490902,8210
6.0372877,2.9490902,10178
6.0372877,2.9490902,10298
6.1597557,2.9055033,10415
5.892575,2.6214275,10529
5.714454,2.4320436,10634
5.4472733,2.1479678,10739
5.1502943,1.895206,10843
4.853316,1.6424443,10958
4.5563374,1.3896825,11067
4.3583517,1.2211747,11186
4.0613728,0.96841294,11302
3.671565,0.98001385,11398
3.281757,0.99161476,11501
3.281757,0.99161476,12900
3.281757,0.99161476,13011
3.281757,0.99161476,14586
3.281757,0.99161476,16475
3.281757,0.99161476,16594
3.5248635,0.8994597,16691
3.6464167,0.8533822,16814
3.6464167,0.8533822,18382
3.6464167,0.8533822,20294
3.6464167,0.8533822,20406
3.6464167,0.8533822,20521
4.036397,0.8533822,20637
4.3300934,1.1099504,20750
4.62379,1.3665187,20871
4.917486,1.6230869,20993
5.119774,1.786405,21117
5.4232063,2.031382,21226
5.7266383,2.276359,21323
5.9289265,2.439677,21438
6.2323585,2.684654,21547
5.854551,2.7813306,21656
5.4767437,2.878007,21769
5.224872,2.942458,23151
5.224872,2.942458,23258
5.224872,2.942458,24814
5.224872,2.942458,26685
5.224872,2.942458,26792
5.612752,2.9020376,26893
6.0006323,2.8616173,26993
5.751649,2.5614638,27092
5.58566,2.3613613,27192
5.336677,2.0612078,27301
5.0404196,1.8076012,27395
4.744162,1.5539945,27493
4.546657,1.3849233,27590
4.2504,1.1313167,27698
4.052895,0.96224564,27801
3.6631649,0.9762204,27908
3.2734349,0.9901953,27995
3.2734349,0.9901953,29374
3.2734349,0.9901953,29464
3.2734349,0.9901953,30775
3.2734349,0.9901953,32443
3.2734349,0.9901953,32555
3.5171874,0.8997632,32663
3.6390636,0.8545472,33974
3.6390636,0.8545472,34084
3.6390636,0.8545472,35648
3.6390636,0.8545472,37583
3.6390636,0.8545472,37693
3.6390636,0.8545472,37803
4.029044,0.8545472,37896
4.4190245,0.8545472,37997
4.9389987,0.8545472,39534
4.9389987,0.8545472,41516
4.9389987,0.8545472,41618
5.0123262,1.2375718,41717
5.0612116,1.4929215,41818
5.245856,1.6759508,41922
5.5228224,1.9504948,42026
5.799789,2.2250388,42123
6.076755,2.4995828,42222
5.7231016,2.6639416,42325
5.3694477,2.8283007,42426
5.2515635,2.8830872,43772
5.2515635,2.8830872,43868
5.2515635,2.8830872,45489
5.2515635,2.8830872,47550
5.2515635,2.8830872,47645
5.511159,2.8688266,47746
5.9005523,2.8474362,47869
6.160148,2.8331757,47980
5.998685,3.188161,48101
5.891043,3.4248178,48221
5.7295804,3.779803,48329
5.5681176,4.1347885,48425
5.4066544,4.4897738,48527
5.2990127,4.7264304,48634
4.975792,4.944635,48736
4.6525717,5.1628394,48840
4.329351,5.3810444,48933
4.00613,5.599249,49028
3.79065,5.7447186,49143
3.4674294,5.962923,49246
3.144209,6.1811275,49358
2.7590246,6.1201534,49475
2.5022352,6.0795035,49582
2.2454457,6.038854,50916
2.2454457,6.038854,50994
2.2454457,6.038854,52616
2.2454457,6.038854,54659
2.2454457,6.038854,54775
2.5756183,6.2463894,54887
2.9322178,6.088524,55003
3.2888174,5.9306583,55115
3.5265505,5.8254147,55220
3.88315,5.667549,55327
4.23975,5.509684,55440
4.5963492,5.351818,55554
4.834082,5.246575,55669
4.975053,5.0281243,55790
5.186508,4.7004485,55901
5.397964,4.372773,56018
5.60942,4.0450974,56139
5.75039,3.826647,56241
5.961846,3.4989715,56332
6.173301,3.171296,56419
5.7874117,3.1149578,56515
5.530152,3.0773993,56613
5.272892,3.0398407,58050
5.272892,3.0398407,58164
5.272892,3.0398407,59713
5.272892,3.0398407,61624
5.272892,3.0398407,61734
5.6556597,2.9651825,61845
6.038427,2.8905241,61961
5.9393992,3.130913,62069
5.7908583,3.491496,62175
5.642317,3.8520794,62286
5.4937754,4.2126627,62395
5.3947477,4.453051,62507
5.2462063,4.8136344,62604
4.9198046,5.027051,62714
4.5934024,5.2404675,62824
4.375801,5.3827453,62941
4.0493994,5.5961614,63050
3.7229977,5.809578,63159
3.3965957,6.0229945,63262
3.1789947,6.165272,63371
2.7927902,6.111134,63472
2.406586,6.0569954,63568
2.277851,6.0389495,64797
2.277851,6.0389495,64885
2.277851,6.0389495,66328
2.277851,6.0389495,68133
2.277851,6.0389495,68245
2.60244,6.255113,68354
2.60244,6.255113,68464
2.60244,6.255113,70087
2.60244,6.255113,72011
2.60244,6.255113,72100
2.60244,6.255113,72186
2.60244,6.255113,73468
2.60244,6.255113,73556
2.60244,6.255113,75090
2.60244,6.255113,77001
2.60244,6.255113,77120
2.60244,6.255113,77237
2.862427,6.255113,77344
3.2108448,6.079928,77455
3.5592625,5.9047427,77564
3.9076803,5.7295575,77672
4.139959,5.612767,77778
4.4883766,5.437582,77889
4.836794,5.2623963,77998
5.0470214,4.9339314,78099
5.187173,4.714955,78204
5.3974,4.38649,78308
5.6076274,4.058025,78416
5.8178544,3.7295597,78525
6.028082,3.4010947,78632
6.1682334,3.182118,78736
5.782907,3.1220489,78842
5.3975806,3.0619795,78941
5.2691383,3.0419564,80247
5.2691383,3.0419564,80350
5.2691383,3.0419564,81920
5.2691383,3.0419564,83790
5.2691383,3.0419564,83906
5.6518173,2.9668472,84015
6.034497,2.891738,84122
6.1620564,2.8667016,85764
6.1620564,2.8667016,87702
6.1620564,2.8667016,87808
6.1620564,2.8667016,87907
5.772076,2.8667016,88016
5.387781,2.93305,88118
5.2596827,2.9551659,89424
5.2596827,2.9551659,89515
5.2596827,2.9551659,90868
5.2596827,2.9551659,92425
5.2596827,2.9551659,92530
5.646952,2.9092615,92632
5.9051313,2.8786585,92729
5.934501,3.1034594,92830
5.788448,3.4650574,92936
5.6423945,3.8266556,93047
5.545026,4.0677214,93157
5.398973,4.4293194,93269
5.2529197,4.7909174,93372
5.204235,4.9114504,94651
5.204235,4.9114504,94746
5.204235,4.9114504,96218
5.204235,4.9114504,96333
4.944248,4.9114504,96447
4.799771,5.273681,96548
4.6552935,5.6359115,96645
4.510816,5.9981422,96748
4.4144983,6.2396293,96856
4.270021,6.60186,96958
4.1255436,6.964091,97066
3.981066,7.3263216,97173
3.6415665,7.5182195,97269
3.4152334,7.6461515,97375
3.0757337,7.8380494,97481
2.7362342,8.029947,97579
2.419518,8.179942,97686
2.3291254,8.223815,97787
2.1697848,8.451899,97881
2.1788146,8.841775,97988
2.1799977,9.231637,98087
2.1799977,9.491505,98203
2.1799977,9.881162,98319
2.1799977,10.399374,99846
2.1799977,10.399374,101419
2.1799977,10.399374,101536
2.1799977,10.399374,101659
2.1799977,10.789354,101754
2.5560498,10.827469,101841
2.8159773,10.821908,101951
3.205851,10.820002,102046
3.5954797,10.820002,102157
3.5954797,10.820002,102279
3.5954797,10.820002,115511
3.5954797,10.820002,115632
3.9854603,10.820002,115742
3.9854603,10.820002,115853
3.5955172,10.820002,115950
3.3355713,10.820002,116046
2.9457173,10.820002,116145
2.6859677,10.820002,116244
2.453927,10.820002,116348
2.3338642,10.778768,116444
2.2130435,10.665708,116551
2.1777751,10.2974615,116651
2.179998,9.907585,116757
2.179998,9.517772,116861
2.0464122,9.884159,116963
1.9573554,10.128418,117060
1.9797533,10.014495,117165
2.065921,9.646859,117271
2.1137486,9.259823,117377
2.161576,8.872786,117490
2.1799657,8.630601,117599
2.218404,8.252989,117703
2.3388283,7.882067,117780
2.4592526,7.5111456,117859
2.5796769,7.1402245,117935
2.6599598,6.8929434,118017
2.7402425,6.6456623,118100
2.4463494,6.3893194,118185
2.152456,6.132977,119288
2.152456,6.132977,119384
2.152456,6.132977,120474
2.152456,6.132977,126082
2.152456,6.132977,126200
2.152456,6.132977,126317
2.152456,6.132977,128048
2.152456,6.132977,130080
2.152456,6.132977,130188
2.152456,6.132977,130300
2.152456,6.132977,131955
2.152456,6.132977,138111
2.152456,6.132977,138214
2.152456,6.132977,138314
2.152456,6.132977,139907
2.152456,6.132977,141848
2.152456,6.132977,141962
2.5145428,6.2778144,142078
2.6387305,6.0494056,142194
2.825012,5.706792,142308
3.0112932,5.364178,142413
3.1975746,5.021565,142513
3.383856,4.6789513,142615
3.5080435,4.4505424,142730
3.694325,4.1079288,142840
3.7113795,3.7183216,142947
3.7284338,3.3287141,143061
3.7454884,2.9391067,143169
3.756858,2.6793685,143282
3.7739124,2.289761,143398
3.790967,1.9001536,143517
3.8080213,1.5105462,143625
3.8250759,1.1209388,143740
3.8307607,0.9910697,145079
3.8307607,0.9910697,145190
3.8307607,0.9910697,146807
3.8307607,0.9910697,153832
3.8307607,0.9910697,153951
3.8307607,0.9910697,154056
4.090748,0.9910697,154148
4.3973627,1.2320508,154239
4.703978,1.4730319,154349
4.908388,1.633686,154458
5.1118674,1.7955177,154572
5.417086,2.0382652,154695
5.7223043,2.2810128,154810
6.027523,2.5237606,154920
5.673699,2.687752,155026
5.437816,2.7970796,155128
5.2019334,2.9064074,156496
5.2019334,2.9064074,156612
5.2019334,2.9064074,158233
5.5909033,2.8783538,158352
5.9798737,2.8503003,158464
5.887766,3.0934248,158566
5.7496047,3.4581113,158680
5.6114435,3.8227978,158789
5.473283,4.1874843,158896
5.335121,4.5521708,159011
5.243014,4.7952952,159128
5.072446,5.1459966,159229
4.901878,5.4966974,159339
4.7313094,5.8473988,159455
4.6175976,6.0811996,159567
4.4470296,6.4319005,159676
4.276461,6.782602,159784
4.105893,7.1333027,159885
3.992181,7.3671036,159994
3.6484158,7.551251,160098
3.3046505,7.7353983,160203
2.9608853,7.9195457,160319
2.7317085,8.042311,160436
2.408999,8.17994,160545
2.2527497,8.2834215,160647
2.1718156,8.617922,160756
2.1799977,9.00779,160867
2.1799977,9.267689,160978
2.1799977,9.657456,161070
2.1799977,10.046965,161176
2.1799977,10.4350605,162765
2.1799977,10.4350605,162874
2.1799977,10.4350605,162969
2.1799977,10.825041,163069
2.5699337,10.820002,163175
2.9598527,10.820002,163295
3.21976,10.820001,163405
3.6093652,10.820002,163523
3.9937043,10.886093,163620
4.3780437,10.952186,163736
4.6342697,10.996246,163845
5.018609,11.062339,163967
5.402948,11.12843,164080
5.787287,11.194523,164194
6.0435133,11.2385845,164302
6.4278526,11.304676,164418
6.812192,11.370769,164530
7.068418,11.41483,164635
7.452757,11.480923,164740
7.452757,11.480923,164858
7.452757,11.480923,173860
7.452757,11.480923,173972
7.452757,11.870903,174064
7.5234175,11.76179,174169
7.141044,11.68514,174271
6.8861284,11.634039,174371
6.503755,11.557388,174465
6.1213818,11.480738,174575
5.7390084,11.404087,174692
5.4840927,11.352986,174811
5.099291,11.290457,174923
4.713292,11.234874,175039
4.327293,11.17929,175157
4.06996,11.142234,175270
3.6839612,11.08665,175390
3.3033507,11.001677,175494
2.9227402,10.916704,175599
2.669,10.860055,175687
2.44281,10.820047,175776
2.3114243,10.765345,175893
2.167709,10.506004,175989
2.1773891,10.116144,176086
2.1799974,9.726294,176181
2.1799974,9.466438,176279
2.1799974,9.076827,176376
2.1799974,8.688012,176482
2.1966643,8.354788,176593
2.2690058,8.105068,176710
2.3489504,7.8576775,176834
2.468867,7.4865913,176952
2.5887837,7.115505,177070
2.668728,6.868115,177196
2.9263647,6.602238,177309
3.2494946,6.383899,177423
3.5726244,6.1655607,177538
3.8957546,5.9472218,177649
4.1111746,5.801663,177744
4.434304,5.583324,177835
4.7574344,5.364985,177936
4.8651443,5.292206,179270
4.8651443,5.292206,179350
4.8651443,5.292206,180884
4.8651443,5.292206,185024
4.8651443,5.292206,185142
4.8651443,5.292206,185253
5.1251316,5.292206,185371
5.4195027,5.547999,185477
5.7138743,5.8037925,185578
6.0082455,6.059586,185689
6.204493,6.230115,185807
6.4826555,6.503447,185924
6.760818,6.776779,186036
6.9462595,6.9590006,186153
7.224422,7.2323327,186268
7.502584,7.505665,186371
7.5896797,7.8857956,186486
7.6187115,8.012506,186611
7.6187115,8.012506,186727
7.6187115,8.012506,186843
7.6187115,8.012506,186965
7.6187115,8.012506,187076
7.6187115,8.012506,187192
7.6187115,8.012506,187311
7.6187115,8.012506,187424
7.6187115,8.012506,187543
7.6187115,8.012506,187649
7.6187115,8.012506,187771
7.6187115,8.012506,187890
7.6187115,8.012506,188005
7.6187115,8.012506,188109
7.6187115,8.012506,188206
7.6187115,8.012506,188303
7.6187115,8.012506,188417
7.6187115,8.012506,188534
7.6187115,8.012506,188657
7.6187115,8.012506,188770
7.6187115,8.012506,188875
7.6187115,8.012506,188983
7.6187115,8.012506,189073
7.6187115,8.012506,189179
7.6187115,8.012506,189293
7.6187115,8.012506,189415
7.6187115,8.012506,189535
7.6187115,8.012506,189663
7.6187115,8.012506,189771
7.6187115,8.012506,189877
7.6187115,8.012506,189998
7.6187115,8.012506,190116
7.6187115,8.012506,190229
7.6187115,8.012506,190346
7.6187115,8.012506,190448
7.6187115,8.012506,190553
7.6187115,8.012506,190674
7.6187115,8.012506,190792
7.6187115,8.012506,190908
7.6187115,8.012506,191026
7.6187115,8.012506,191136
7.6187115,8.012506,191256
7.6187115,8.012506,191372
7.6187115,8.012506,191486
7.6187115,8.012506,191598
7.6187115,8.012506,191715
7.6187115,8.012506,191831
7.6187115,8.012506,191939
7.6187115,8.012506,193654
7.6187115,8.012506,195684
7.6187115,8.012506,195787
7.6187115,8.012506,195898
7.6187115,8.012506,197430
7.6187115,8.012506,199245
7.6187115,8.012506,199340
7.6187115,8.012506,199435
7.6187115,7.622525,199535
7.6250296,7.232596,199646
7.6313477,6.8426666,199760
7.6355596,6.5827136,199866
7.6418777,6.1927843,199973
7.6481957,5.802855,200086
7.654514,5.4129257,200199
7.660832,5.0229964,200283
7.6671495,4.633067,200372
7.671362,4.373114,200487
7.675574,4.113161,200595
7.4017105,3.835522,200687
7.127847,3.5578825,200797
6.9452715,3.3727896,200903
6.6714077,3.0951502,201010
6.282058,3.0729854,201110
5.892708,3.0508204,201218
5.633141,3.0360436,201321
5.243791,3.0138786,202647
5.243791,3.0138786,202740
5.243791,3.0138786,204253
5.243791,3.0138786,205975
5.243791,3.0138786,206082
5.6284018,2.9493852,206187
6.141216,2.863394,207375
6.141216,2.863394,207473
6.141216,2.863394,208809
6.141216,2.863394,210309
6.141216,2.863394,210388
6.141216,2.863394,210470
6.141216,2.863394,211715
6.141216,2.863394,213303
6.141216,2.863394,213412
6.141216,2.863394,213527
6.141216,2.863394,215131
6.141216,2.863394,217054
6.141216,2.863394,217156
6.141216,2.863394,217263
5.881229,2.863394,217361
5.7565765,3.232916,217459
5.6319246,3.6024382,217563
5.5072722,3.9719603,217670
5.4241705,4.2183084,217762
5.2995186,4.5878305,217853
5.216417,4.834179,218944
5.216417,4.834179,219026
5.216417,4.834179,220325
5.216417,4.834179,220402
4.8264365,4.834179,220470
4.741288,5.079827,220546
4.570992,5.571123,220619
4.485844,5.8167715,220699
4.358122,6.1852436,220786
4.2303996,6.553716,220872
4.1026773,6.9221883,220956
3.9749553,7.2906604,221045
3.7510436,7.422785,221137
3.4151762,7.620971,221224
3.0793087,7.8191576,221310
2.743441,8.0173435,221399
2.4286149,8.179941,221485
2.3429954,8.216382,221576
2.1759112,8.420433,221661
2.1799982,8.810333,221734
2.1799982,9.200202,221820
2.1799982,9.589992,221906
2.1799982,9.97957,221996
2.1799982,10.368191,223625
2.1799982,10.368191,225041
2.1799982,10.368191,225131
2.1799982,10.368191,226727
2.1799982,10.368191,226810
2.1799982,10.368191,226897
2.1799982,10.380401,226971
2.1799982,10.380401,227057
2.1799982,10.380401,228549
2.1799982,10.380401,230211
2.1799982,10.380401,230311
2.1799982,10.380401,230405
2.1799982,10.380401,231805
2.1799982,10.380401,233583
2.1799982,10.380401,233684
2.1799982,10.380401,233781
2.1799982,10.380401,235330
2.1799982,10.380401,236775
2.1799982,10.380401,236872
2.1799982,10.380401,236957
2.1799982,10.380401,237052
2.1799982,10.380401,237151
2.1799982,10.380401,238783
2.1799982,10.380401,240679
2.1799982,10.380401,240796
2.1799982,10.380401,240909
2.1799982,10.380401,242558
2.1799982,10.380401,244580
2.1799982,10.380401,244693
2.1799982,10.380401,244806
2.1799982,10.380401,246426
2.1799982,10.380401,248427
2.1799982,10.380401,248536
2.1799982,10.380401,248629
2.1799982,10.380401,250312
2.1799982,10.380401,252322
2.1799982,10.380401,252429
2.1799982,10.380401,252547
2.1799982,10.380401,254233
2.1799982,10.380401,256256
2.1799982,10.380401,256371
2.1799982,10.380401,256483
2.1799982,10.380401,258131
2.1799982,10.380401,260163
2.1799982,10.380401,260268
2.1799982,10.380401,260384
2.1799982,10.380401,260495
2.1799982,10.380401,260602
2.1799982,10.380401,262221
2.1799982,10.380401,263956
2.1799982,10.380401,264060
2.1799982,10.380401,264146
2.1799982,10.380401,265550
2.1799982,10.380401,267136
2.1799982,10.380401,267231
2.1799982,10.380401,267320
2.1799982,10.380401,268613
2.1799982,10.380401,270288
2.1799982,10.380401,270388
2.1799982,10.380401,270494
2.1799982,10.380401,271914
2.1799982,10.380401,273541
2.1799982,10.380401,273637
2.1799982,10.380401,273720
2.1799982,10.380401,275217
2.1799982,10.380401,277088
2.1799982,10.380401,277190
2.1799982,10.380401,277295
2.1799982,10.380401,278830
2.1799982,10.380401,280706
2.1799982,10.380401,280817
2.1799982,10.380401,280921
2.1799982,10.380401,282474
2.1799982,10.380401,284006
2.1799982,10.380401,284089
2.1799982,10.380401,284183
2.1799982,10.380401,285602
2.1799982,10.380401,287451
2.1799982,10.380401,287556
2.1799982,10.380401,287651
2.1799982,10.380401,289237
2.1799982,10.380401,291110
2.1799982,10.380401,291210
2.1799982,10.380401,291315
2.1799982,10.380401,292828
2.1799982,10.380401,294587
2.1799982,10.380401,294692
2.1799982,10.380401,294802
2.1799982,10.380401,296365
2.1799982,10.380401,298121
2.1799982,10.380401,298212
2.1799982,10.380401,298300
2.1799982,10.380401,299727
2.1799982,10.380401,301481
2.1799982,10.380401,301573
2.1799982,10.380401,301657
2.1799982,10.380401,303039
2.1799982,10.380401,304666
2.1799982,10.380401,304774
2.1799982,10.380401,304868
2.1799982,10.380401,304954
2.1799982,10.380401,305041
2.1799982,10.380401,306312
2.1799982,10.380401,308170
2.1799982,10.380401,308258
2.1799982,10.380401,308360
2.1799982,10.380401,308465
2.1799982,10.380401,308573
2.1799982,10.380401,310102
2.1799982,10.380401,311898
2.1799982,10.380401,312003
2.1799982,10.380401,312096
2.1799982,10.380401,313498
2.1799982,10.380401,315213
2.1799982,10.380401,315315
2.1799982,10.380401,315421
2.1799982,10.380401,315526
2.1799982,10.380401,315626
2.1799982,10.380401,317103
2.1799982,10.380401,318812
2.1799982,10.380401,318917
2.1799982,10.380401,319017
2.1799982,10.380401,320510
2.1799982,10.380401,322370
2.1799982,10.380401,322480
2.1799982,10.380401,322588
2.1799982,10.380401,322693
2.1799982,10.380401,322803
2.1799982,10.380401,324253
2.1799982,10.380401,325816
2.1799982,10.380401,325896
2.1799982,10.380401,325978
2.1799982,10.380401,327348
2.1799982,10.380401,329053
2.1799982,10.380401,329150
2.1799982,10.380401,329247
2.1799982,10.380401,330722
2.1799982,10.380401,332540
2.1799982,10.380401,332651
2.1799982,10.380401,332755
2.1799982,10.380401,334330
2.1799982,10.380401,336189
2.1799982,10.380401,336299
2.1799982,10.380401,336408
2.1799982,10.380401,337962
2.1799982,10.380401,339851
2.1799982,10.380401,339962
2.1799982,10.380401,340070
2.1799982,10.380401,340177
2.1799982,10.380401,340280
2.1799982,10.380401,341873
2.1799982,10.380401,343740
2.1799982,10.380401,343853
2.1799982,10.380401,343962
