posx,posz,time
22.0,22.0,16592729
22.0,22.0,16593348
22.091919,22.091919,16593400
22.091919,22.091919,16594773
22.091919,22.091919,16594817
22.091919,22.091919,16594854
22.091919,22.091919,16596190
22.091919,22.091919,16596225
22.091919,22.091919,16596260
22.091919,22.091919,16597578
22.091919,22.091919,16597622
22.091919,22.091919,16597662
22.091919,22.091919,16598928
22.091919,22.091919,16598963
22.091919,22.091919,16599003
22.091919,22.091919,16600322
22.091919,22.091919,16600356
22.091919,22.091919,16600396
22.091919,22.091919,16601728
22.091919,22.091919,16601765
22.091919,22.091919,16601791
22.091919,22.091919,16603145
22.091919,22.091919,16603183
22.091919,22.091919,16603225
22.091919,22.091919,16604553
22.091919,22.091919,16604588
22.091919,22.091919,16604629
22.091919,22.091919,16605963
22.091919,22.091919,16606002
22.091919,22.091919,16606040
22.091919,22.091919,16607368
