posx,posz,time
22.0,22.0,2995590
22.0,22.0,2997165
22.091919,22.091919,2997274
22.43975,21.915573,2997380
22.787582,21.739227,2997485
23.032904,21.436073,2997590
23.278223,21.132917,2997692
23.441769,20.930815,2999255
23.441769,20.930815,3000833
23.441769,20.930815,3000947
23.441769,20.930815,3001061
23.441769,20.930815,3001168
23.051788,20.930815,3001273
22.661808,20.930815,3001385
22.141834,20.930815,3002962
22.141834,20.930815,3006663
22.141834,20.930815,3006778
21.858744,21.19904,3006883
22.224293,21.063175,3006986
22.589842,20.92731,3007089
22.974371,20.862335,3007195
23.358839,20.820017,3007300
23.570478,20.820017,3007404
23.839432,20.595776,3007511
23.839432,20.595776,3007621
24.069279,20.280727,3007725
24.299124,19.96568,3007825
24.277208,19.837547,3007936
24.194708,19.737087,3008041
24.194708,19.737087,3008150
24.194708,19.737087,3008251
24.164246,19.3581,3008357
24.164246,19.3581,3008463
24.164246,19.3581,3008574
24.164246,19.3581,3008680
24.164246,19.3581,3010269
24.164246,19.3581,3010379
24.164246,19.618088,3010492
24.164246,19.618088,3010603
24.351894,19.797615,3010707
24.728388,19.82125,3010814
24.988111,19.820004,3010919
24.988111,19.820004,3011023
24.988111,19.820004,3011130
24.988111,20.07999,3011240
25.112309,20.308393,3011346
25.18572,20.611263,3011449
25.32492,20.780876,3011556
25.688843,20.820004,3011664
26.07818,20.820007,3011767
26.466496,20.820007,3011871
26.595142,20.820007,3011985
26.595142,20.820007,3017223
26.595142,20.820007,3017337
26.85513,20.820007,3017444
26.85513,20.820007,3017557
26.465582,20.820004,3017661
26.07651,20.820004,3017766
25.689611,20.820004,3017871
25.393585,20.816952,3017973
25.201464,20.660208,3018078
24.939234,20.371555,3018189
24.677004,20.082903,3018293
24.622568,20.200949,3018397
24.50533,19.968897,3018507
24.426641,19.865425,3018605
24.229183,19.696299,3018709
24.229183,19.696299,3018813
24.229183,19.696299,3018920
24.177193,19.338871,3019030
24.177193,19.338871,3019139
24.177193,19.338871,3019249
24.177193,19.338871,3019361
24.177193,19.338871,3020941
24.177193,19.338871,3021051
24.177193,19.598858,3021158
24.235443,19.698849,3021268
24.524746,19.827593,3021373
24.914429,19.820004,3021476
25.044207,19.820004,3021576
25.044207,19.820004,3021685
25.11522,20.070105,3021791
25.179974,20.320206,3021895
25.192394,20.628866,3022004
25.358433,20.800602,3022108
25.734882,20.820005,3022216
26.12416,20.820005,3022327
26.512203,20.820005,3022429
26.6405,20.820005,3022535
26.6405,20.820005,3038613
26.6405,20.820005,3038723
26.900486,20.820005,3038826
27.03048,20.820005,3038936
26.640833,20.820004,3039035
26.251482,20.820004,3039136
25.863115,20.820004,3039237
25.498543,20.958464,3039335
25.13397,21.096926,3039434
24.89092,21.189232,3039532
24.526348,21.327692,3039630
24.2833,21.42,3039732
23.895033,21.456514,3039815
23.511177,21.502714,3041332
23.511177,21.502714,3041436
23.181417,21.710903,3041537
22.851656,21.919092,3041643
22.521896,22.127281,3041748
22.291044,22.24687,3041852
21.944769,22.42625,3041957
21.598494,22.605633,3042060
21.252218,22.785015,3042150
21.021366,22.904602,3043293
21.021366,22.904602,3043382
21.021366,22.904602,3044806
21.021366,22.904602,3044910
21.411346,22.904602,3045014
21.799988,22.93691,3045115
22.188627,22.969221,3045213
22.577267,23.00153,3045311
22.837242,23.003855,3045413
23.227207,23.007341,3045515
23.617172,23.010828,3045615
24.917055,23.02245,3047106
24.917055,23.02245,3047209
25.019882,22.646269,3047300
25.104662,22.265615,3047399
25.161182,22.011847,3047503
25.245962,21.631193,3047600
25.330744,21.25054,3047699
25.387264,20.99677,3047802
25.142126,20.693468,3047901
24.896988,20.390165,3048000
24.65185,20.086864,3048097
24.391647,19.801395,3048196
24.255518,19.721455,3048297
24.179977,19.397308,3048398
24.179996,19.137447,3048500
24.179996,18.747742,3048595
24.179996,18.358244,3048692
24.179996,17.969334,3048796
24.179996,17.583612,3048895
24.189156,17.373922,3048996
24.283411,17.251265,3049097
24.620516,17.176394,3049200
25.009083,17.179993,3049303
25.009083,17.179993,3049409
25.009083,17.179993,3049511
25.009083,17.179993,3049621
24.749884,17.179995,3049723
24.415438,17.179995,3049823
24.2604,17.275509,3049922
24.173355,17.600233,3050021
24.179996,17.859995,3050127
24.179996,18.249485,3050231
24.179996,18.638132,3050333
24.179996,18.89615,3050440
24.179996,19.28396,3050535
24.184563,19.616192,3050618
24.34898,19.80406,3050710
24.642298,20.061062,3050808
24.935616,20.318064,3050905
25.186577,20.579557,3051006
25.374975,20.908434,3051107
25.59991,21.227009,3051213
25.824844,21.545582,3051315
26.049778,21.864157,3051418
26.199734,22.07654,3051520
26.499645,22.501305,3051632
26.72458,22.81988,3051748
27.06657,23.007303,3051868
27.40856,23.194727,3051988
27.75055,23.382153,3052104
28.092539,23.569576,3052216
28.229343,23.679852,3052304
28.470741,23.832165,3052404
28.730595,23.823828,3052510
29.120361,23.820004,3052619
29.509762,23.820004,3052727
30.416296,23.820004,3054302
30.416296,23.820004,3054415
30.416296,23.820004,3054525
30.806276,23.820004,3054639
31.037306,23.939247,3054746
31.383848,24.11811,3054850
31.694494,24.229872,3054957
31.829578,24.513983,3055064
31.820004,24.903648,3055171
31.820004,25.033438,3055280
31.820004,25.033438,3055388
32.209297,25.010323,3055503
32.46883,24.994911,3055615
32.70683,24.890272,3055723
33.063828,24.733315,3055833
33.42083,24.576357,3055942
33.807518,24.52579,3056049
34.194206,24.475222,3056155
34.451996,24.441511,3056269
34.838684,24.390944,3056375
35.225372,24.340376,3056480
35.61206,24.289806,3056586
35.995186,24.217,3056697
36.378307,24.144192,3056805
36.761433,24.071384,3056911
37.144558,23.998577,3057021
37.39997,23.950039,3057130
37.783096,23.877232,3057235
38.16622,23.820019,3057340
38.556065,23.820002,3057443
38.945858,23.820002,3057552
39.335537,23.820002,3057661
39.595207,23.820002,3057771
39.98428,23.820002,3057877
40.371166,23.820002,3092972
40.371166,23.820002,3093069
40.371166,23.820002,3093309
39.981186,23.820002,3093416
39.721405,23.820002,3093524
39.33193,23.820002,3093628
38.943092,23.820002,3093735
38.685238,23.820002,3093852
38.295303,23.820002,3093963
37.90538,23.820002,3094074
37.515472,23.820002,3094186
37.255543,23.820002,3094299
36.865677,23.820002,3094411
36.47585,23.820002,3094523
36.08609,23.820002,3094632
35.696476,23.820002,3094743
35.307213,23.820002,3094851
35.04825,23.820002,3094966
34.661446,23.853777,3095080
34.27457,23.902905,3095189
33.887695,23.952032,3095287
33.500824,24.001162,3095389
33.11395,24.05029,3095493
32.727074,24.099417,3095594
32.340202,24.148544,3095699
31.953327,24.197672,3095800
31.693495,24.206589,3095903
31.321472,24.179834,3096005
31.117414,24.120728,3096109
30.91601,23.973412,3096210
30.53455,23.979982,3096311
30.158081,23.979982,3096414
29.798784,23.979982,3096516
29.599909,23.979982,3096591
29.383898,23.979982,3096723
29.11975,24.058865,3096841
28.913656,24.38994,3096962
28.707563,24.721014,3097082
28.50147,25.05209,3097196
28.219948,25.306713,3097315
27.967087,25.603607,3097433
27.798513,25.801537,3097552
27.545652,26.09843,3097675
27.292791,26.395325,3097791
27.03993,26.692219,3097909
26.761387,26.965164,3098032
26.482845,27.23811,3098149
26.204302,27.511055,3098267
25.92576,27.783998,3098387
25.740065,27.965961,3098510
25.462387,28.17993,3098628
25.361492,28.208008,3098749
25.1921,28.37427,3098856
25.178926,28.755571,3098978
25.179996,29.145174,3099096
25.179996,29.53455,3099216
25.179996,29.923382,3099336
25.179996,30.181793,3099455
25.179996,30.437958,3099577
25.122984,30.823748,3099699
25.065971,31.209538,3099818
25.00896,31.59533,3099941
24.951948,31.98112,3100056
24.894936,32.36691,3100181
24.837925,32.7527,3100303
24.799915,33.009895,3100426
24.766254,33.267693,3100546
24.715761,33.654392,3100666
24.66527,34.04109,3100783
24.614777,34.427788,3100905
24.564283,34.814484,3101023
24.530622,35.072285,3101149
24.502092,35.460907,3101274
24.484379,35.850483,3101396
24.466585,36.24006,3101513
24.448792,36.629635,3101627
24.430996,37.019207,3101732
24.313286,37.238476,3101843
24.191729,37.375317,3101952
24.17999,37.75521,3102062
24.17999,38.142216,3102169
24.179995,38.53139,3102277
24.179995,38.920547,3102385
24.179995,39.307953,3102495
24.061102,39.679367,3102607
24.020031,39.92698,3102721
23.88303,40.292103,3102832
