id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
462,1,button17,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
463,1,button22,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
464,1,door9,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
465,1,button26,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
466,1,button29,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
467,1,door8,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
468,1,door7,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
469,1,button17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
470,1,button20,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
471,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
472,1,button22,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
473,1,button22,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
474,1,button19,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
475,1,button22,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
476,1,door9,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
477,1,button25,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
478,1,button21,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
479,1,button24,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
480,1,button24,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
481,1,button21,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
482,1,door8,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
483,1,button21,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
484,1,button23,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
485,1,button20,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
486,1,button26,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
487,1,button26,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
488,1,button26,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
489,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
490,1,door9,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
491,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
492,1,door14,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
493,1,door13,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
494,1,button19,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
495,1,button28,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
496,1,door13,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
497,1,button22,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
498,1,button21,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
499,1,button21,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
500,1,button23,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
501,1,button22,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
502,1,button28,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
503,1,button27,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
504,1,door11,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
505,1,door10,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
506,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
507,1,door8,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
508,1,button19,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
509,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
510,1,button32,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
511,1,button20,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
512,1,button17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
513,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
514,1,button21,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
515,1,button24,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
516,1,button26,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
517,1,button19,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
518,1,door11,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
519,1,door13,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
520,1,door8,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
521,1,door7,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
522,1,door14,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
523,1,button23,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
524,1,door13,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
525,1,door9,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
526,1,button29,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
527,1,button26,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
528,1,button24,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
529,1,button22,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
530,1,button28,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
